Query,KCC Ans
When should I sow bottle gourd?,Sow bottle gourd in May-June for the summer season. Ensure well-drained soil and irrigate every 7-10 days.
How do I control powdery mildew in my okra crop?,"To control powdery mildew in okra, spray wettable sulphur at 2 g per liter of water or carbendazim at 1 g per liter every 15 days, starting at disease onset."
How do I control pests in my mango trees?,"Spray imidacloprid 17.8 SL at 0.5 ml per liter of water every 7-10 days to control mango pests instead of monocrotophos, which is banned."
What's a good hill rice variety?,"For hilly areas, VL-61213 is a good rice variety. It's adaptable and high-yielding for upland conditions."
How do I control top borer in my sugarcane crop?,"To control sugarcane top borer, apply carbofuran 3G at 10-15 kg per hectare in wet soil instead of cartap at 10 kg per acre."
When should I sow a nursery?,Sow a nursery for summer crops like tomato or capsicum from May 25 to June 20 for healthy seedlings.
Why are my potato leaves wilting?,Wilting potato leaves may be fungal. Spray mancozeb 75 WP at 2 g per liter of water every 7-10 days to control blight.
How do I start rose farming?,"For rose farming, plant in February-March in well-drained soil. Apply 10 kg FYM per square meter and irrigate every 7-10 days. Contact your KVK for detailed guidance."
What herbicides should I use in maize?,"For maize weeds, spray atrazine 50 WP at 400 g per hectare in 200-250 liters of water, 2-3 days after sowing."
Why aren't my tomato plants flowering?,"To promote tomato flowering, spray Planofix at 0.5 ml per liter of water. Apply 150 kg N, 80 kg P, and 80 kg K per hectare."
How do I improve barren land?,"To improve barren land, apply 10-15 tons of farmyard manure per hectare and grow leguminous crops to enhance soil fertility."
How do I control fruit borers in my chilli crop?,"To control chilli fruit borers, spray quinalphos 20 EC at 1 ml per liter of water every 7-10 days instead of 1 ml, which is unclear."
Why are my grape fruits dropping?,"To prevent grape fruit drop, spray gibberellic acid (GA3) at 2 g per liter of water during flowering. Ensure proper irrigation."
What's a contact pesticide?,"Contact pesticides include agrosan, aritone, and ceresan. They act on pests upon direct contact. Use as per label instructions."
How much spacing is needed for brinjal seed production?,"For brinjal seed production, maintain an isolation distance of 400 meters to prevent cross-pollination."
Why does rice get khaira disease?,Khaira disease in rice is caused by zinc deficiency. Spray 2.5 kg zinc sulphate with 1 kg slaked lime in 500 liters of water per hectare.
How do I control insects in my chilli crop?,"To control chilli insects, spray quinalphos 20 EC at 1 ml per liter of water every 7-10 days. Target affected areas."
Why is my rice crop turning yellow?,Yellowing rice may be due to stem borers. Apply carbofuran 3G at 10-15 kg per hectare in wet soil instead of cartap at 10 kg per acre.
How do I treat seeds with insecticide?,"Treat seeds with imidacloprid 70 WS at 3 g per kg of seed instead of resent at 20 kg/ha, which is unclear, to protect against early pests."
What are some aromatic rice varieties?,"Aromatic rice varieties include Pusa Basmati-1, Pusa Sugandh-4, Pusa Sugandh-5, Haryana Basmati-1, and Malviya-1."
Which rice varieties give high yields?,"High-yielding rice varieties include Govind, Narendra-80, Saket-4, Pusa-44, Pant Dhan-4, and Pant Dhan-10."
How do I control motha weeds in my sugarcane field?,"To control motha in sugarcane, spray 2,4-D amine salt 58 SL at 1 liter per hectare instead of zuramix, which is unclear, 20-25 days after planting."
Why are my bottle gourd fruits dropping?,"To prevent bottle gourd fruit drop, spray Planofix at 2 ml per liter of water during flowering. Ensure proper irrigation."
How much seed is needed for SRI rice planting?,"For SRI rice planting, use 5 kg of seed per hectare for better spacing and higher yields."
Why are the top leaves of my chilli plants drying?,"Drying chilli leaves may be viral. Uproot affected plants, avoid chilli in the field for 3-4 years, and spray metasystox at 0.5 ml per liter to control vectors."
How much spacing is needed for cauliflower seed production?,"For cauliflower seed production, maintain an isolation distance of 1000 meters to prevent cross-pollination."
How do I control pests in my brinjal crop?,"Spray carbosulfan 25 EC at 1 ml per liter of water every 7-10 days to control brinjal pests instead of monocrotophos, which is banned."
My buffalo has lice and ticks. What should I do?,"To control lice and ticks, apply Butox (deltamethrin) at 2-3 ml per liter of water and bathe the buffalo with a cloth. Consult a vet for safe application."
How much is the registration fee for fertilizers and medicines?,"The registration fee for fertilizers and pesticides is approximately Rs. 55,000-1,00,000. Contact the agricultural department for exact details."
How do I control termites in my sugarcane crop?,Apply fipronil 0.3% granules at 20 kg per hectare with irrigation water to control sugarcane termites instead of monocrotophos and chlorpyrifos at 15 liters per acre.
Why are my mango fruits dropping?,"To prevent mango fruit drop, spray Planofix at 1 ml per liter of water during flowering. Ensure proper irrigation and nutrition."
How do I control termites in my poplar field?,"To control termites in poplar, apply Metarhizium anisopliae at 2 kg per acre with 150 kg FYM instead of metarijam anaspoly, which is unclear."
How much urea is needed for 15 bighas?,"For 15 bighas (approximately 3 hectares), apply 25-30 kg urea per bigha, totaling 375-450 kg, split into 2-3 doses for crops like wheat."
Why is my buffalo giving less milk?,"To boost milk, feed your buffalo a mix of 5 kg rice, 3 kg jaggery, 25 ml linseed oil, 100 g ginger, 15 g cloves, 50 g chironji, and 200 g black salt in 20 liters of water weekly. Consult a vet."
Why are my sugarcane shoots drying?,Drying sugarcane shoots may be due to borers. Apply carbofuran 3G at 10-15 kg per acre followed by irrigation instead of cartap with urea.
How do I prevent mango borers from damaging fruits?,"To prevent mango borers, spray Planofix at 0.5 ml per liter of water during fruiting. Remove affected fruits to control spread."
Why isn't my tomato plant growing?,"For poor tomato growth, spray a micronutrient mix with NPK 19:19:19 at 2 g per liter of water. Ensure 150 kg N, 80 kg P, and 80 kg K per hectare."
What are some high-yielding rice varieties?,"High-yielding rice varieties include 6444 Gold, Type-3, and Pusa Basmati-1. Choose based on your region."
What's the dosage of growth promoters for sugarcane?,"For sugarcane growth, spray gibberellic acid at 5 ml per liter of water during vegetative growth instead of promoter, which is unclear."
"How do I plant a lemon tree, and where can I get saplings?",Plant lemon trees in June-July in well-drained soil with 10 kg FYM per pit. Get saplings from your KVK or government nursery.
Why are my chilli fruits turning black inside?,"Blackening chilli fruits may be fungal. Spray mancozeb 75 WP at 2 g per liter of water every 7-10 days instead of 25 g per liter, which is excessive."
Why are the top leaves of my sugarcane drying?,Drying sugarcane leaves may be due to borers. Apply carbofuran 3G at 10-15 kg per acre in wet soil instead of cartap at 15 kg per bigha.
How do I control kansava in my sugarcane with drying shoots and a vinegar-like smell?,Kansava (red rot) in sugarcane requires seed treatment with thiram (2 g per kg) and resistant varieties like COS-8436 instead of cartap. Uproot and burn affected plants.
Which is a good brinjal variety?,A good brinjal variety is Pant Rituraj. It's high-yielding and resistant to common pests.
How do I control termites in my poplar field?,"To control poplar termites, apply chlorpyrifos 20 EC at 3 liters per hectare with irrigation water in small doses to avoid overuse."
How do I control top borers and promote growth in my sugarcane crop?,"For sugarcane top borers, apply carbofuran 3G at 20-25 kg per hectare. Spray gibberellic acid at 25 g per hectare for growth instead of chlorpyrifos at 2 ml per liter."
How do I control worms eating inside my tomatoes?,"To control tomato worms, spray quinalphos 25 EC at 1 ml per liter of water every 7-10 days instead of 15 ml. Remove affected fruits."
What's the row-to-row distance for winter sugarcane?,"For winter sugarcane, maintain a row-to-row distance of 90 cm for healthy growth and easy management."
Can I grow mint between one-year-old mango trees?,"Yes, you can grow mint between one-year-old mango trees until their canopies shade the area. Apply 120 kg N, 60 kg P, and 40 kg K per hectare for mint."
Why is the upper part of my sugarcane drying?,"Drying sugarcane tops may be due to borers. Spray spinosad at 0.5 ml per liter of water every 7-10 days instead of monocrotophos, which is banned."
Why are my kinnow flowers dropping?,"To prevent kinnow flower drop, spray Planofix at 1 ml per 2 liters of water during flowering. Ensure proper irrigation and nutrition."
My soil has hardened due to excessive water. What should I do?,"For hardened soil, apply 10-15 tons of farmyard manure per hectare and incorporate green manures like dhaincha to improve soil structure."
Where can I get sugarcane seeds?,Get sugarcane seeds (setts) from the Sugarcane Research Institute or your local agricultural department for quality planting material.
How do I biologically treat brinjal seeds?,"Soak brinjal seeds in cow urine for 12 hours, then sow in a nursery for biological treatment and improved germination."
How do I ripen mangoes?,"To ripen mangoes, dip them in a 5 ml per liter ethephon solution, then dry in the shade for uniform ripening."
My animal's fodder isn't digesting. What should I do?,"For poor digestion, feed your animal ajwain seed extract (boil 50 g in 1 liter water, cool, and give 100 ml). Consult a vet for underlying issues."
My dog has dysentery. What should I do?,"For dog dysentery, grind amaltas bark into a paste and give a small amount (consult a vet for dosage). Seek veterinary care immediately."
How do I control thrips and pests in my chilli crop?,"To control chilli thrips and pests, spray imidacloprid 17.8 SL at 0.5 ml per liter of water every 7-10 days. Use sticky traps for monitoring."
My buffalo is 4 months pregnant with worms. What should I do?,"For worms in a pregnant buffalo, give albendazole (1 bolus) in the morning under veterinary supervision. Avoid deworming without vet advice."
Are there vacancies at the Kisan Call Center?,"Currently, there are no vacancies at the Kisan Call Center. Keep checking newspapers or the official KCC website for updates."
Why are my bottle gourd and tomato plants rotting?,"For rotting bottle gourd and tomato plants, spray carbendazim 50 WP at 2 g per liter of water every 7-10 days. Ensure well-drained soil."
What are the varieties of kalmuvanari in ponds?,"For kalmuvanari (aquatic plants), contact GB Pant University, Pantnagar, for specific varieties and their uses in pond ecosystems."
"What biopesticide should I use in a polyhouse, and in what quantity?","In a polyhouse, use Verticillium lecanii at 5 g per liter of water (25 kg per hectare in 500 liters) for foliar spray. Adjust volume based on crop canopy."
What are some good rice varieties?,"Good rice varieties include 6444 Gold, Narendra Dhan-2, Type-3, and Pusa Basmati-1. They're high-yielding and adaptable."
How do I control weeds in my sugarcane field?,"Avoid herbicides now if sugarcane is mature. Early on, spray atrazine at 2 liters per hectare within 2-3 days of planting to control weeds."
How do I control kansava in my sugarcane with drying shoots and a vinegar smell?,Kansava (red rot) requires uprooting affected sugarcane plants and burning them. Treat setts with thiram (2 g per kg) and use resistant varieties like COS-8436.
How much calcium should I apply to sugarcane?,Apply 30 kg calcium per hectare to sugarcane as calcium sulphate or gypsum at planting to improve soil health.
Which herbicide should I use for rice?,"For rice weeds, spray butachlor at 1 liter per acre in 100 liters of water, 2-3 days after transplanting, for effective control."
Can I plant rice now?,"In May, rice planting is not ideal in most regions. Sow nursery in June-July for kharif rice. Contact your KVK for region-specific advice."
How do I biologically treat maize seeds?,Treat maize seeds with Rhizobium culture (200 g per 10 kg seeds) mixed with 50 g jaggery solution. Dry in shade and sow in the evening.
Why are my sugarcane leaves turning red and drying in clumps?,Reddening and drying sugarcane leaves may be fungal. Spray trichoderma at 4 kg per acre in 500 liters of water to control the issue.
How do I control pests on my sugarcane leaves?,"Spray imidacloprid 17.8 SL at 0.5 ml per liter of water every 7-10 days to control sugarcane leaf pests instead of monocrotophos, which is banned."
My field has been barren for years. What should I do?,"For a barren field, grow medicinal or leguminous crops like aloe vera or chickpeas. Apply 10 tons FYM per hectare to restore fertility."
How do I make farming profitable?,"To make farming profitable, diversify with poultry, livestock, beekeeping, or mushroom cultivation alongside crops. Contact your KVK for training."
My buffalo calf has worms. What should I give?,"For worms in a buffalo calf, give piperazine syrup (consult a vet for dosage) under supervision. Avoid self-medication."
How do I control sucking and cutting pests in my chickpea crop?,"For chickpea pests, spray acephate 75 SP at 150-400 g per acre in 200 liters of water instead of asifate, which is unclear. Target affected areas."
How do I control hoppers in my mango crop?,"To control mango hoppers, spray cypermethrin 25 EC at 150 ml per acre in 200 liters of water for effective control."
How do I protect my maize from monkeys?,"To deter monkeys from maize, install physical barriers like fencing or use noise-making devices. Contact your KVK for local repellent advice."
What herbicide should I use for madhusi weeds in wheat?,"To control madhusi in wheat, spray isoproturon 75 WP at 1 kg per hectare in 500 liters of water, 30-35 days after sowing."
What should I do if my goat has diarrhea?,"If your goat has diarrhea, consult a veterinarian immediately for a proper diagnosis. In the meantime, ensure the goat stays hydrated by providing clean water with an electrolyte solution (like oral rehydration salts, 50 ml per kg body weight daily). Avoid feeding fibrous or starchy materials like rice husk, and provide a clean, dry resting area."
"Why are my carrots rotting, and how can I fix it?","If your carrots are rotting, it's likely due to a fungal infection. Spray mancozeb at 2 grams per liter of water every 7-10 days, ensuring even coverage. Improve soil drainage to prevent waterlogging, and rotate crops annually to reduce fungal buildup. Always wear protective gear when spraying."
Where can I get a Kisan Credit Card?,"You can apply for a Kisan Credit Card at your nearest bank, such as SBI's Agricultural Development Branch, or a cooperative society. Contact the bank manager for eligibility criteria and application details. You can also visit https://pmkisan.gov.in for more information."
Why are my melons rotting?,"If your melons are rotting, it could be due to fungal issues or waterlogging. Instead of vermiwash, spray copper oxychloride at 3 grams per liter of water every 10-14 days. Ensure proper drainage and avoid overwatering. Remove affected fruits to prevent spread."
How do I control top borer in my sugarcane crop?,"To control top borer in your sugarcane, apply carbofuran 3G granules at 1 kg per hectare in the soil near the plant base before irrigation. Alternatively, spray neem oil at 5 ml per liter of water every 10-14 days for an eco-friendly option. Monitor regularly and remove affected shoots."
What should I do if a dog bit my cow?,"If a dog bit your cow, take it to a veterinarian immediately for a rabies vaccination and wound treatment. Clean the wound with an antiseptic like Betadine and keep the cow in a clean, dry area."
How can I improve growth in my sugarcane?,"To boost sugarcane growth, apply gibberellic acid at 50 grams per hectare mixed with 1 kg of amino acid in 500 liters of water as a foliar spray. Ensure balanced fertilization with 150 kg nitrogen, 60 kg phosphorus, and 60 kg potassium per hectare."
Why are my sugarcane leaves spotted and growth stunted?,Spotted leaves and stunted growth in sugarcane may be due to fungal issues. Spray copper oxychloride at 3 grams per liter of water every 10-14 days. Ensure proper soil drainage and test for nutrient deficiencies.
How many rice seedlings should I plant per square meter?,"For rice, plant around 50 seedlings per square meter in well-prepared fields to ensure optimal growth and yield."
How do I prevent leaf rot in my ridge gourd?,"To prevent leaf rot in ridge gourd, spray Bacillus subtilis at 2 grams per liter of water every 7-10 days. Ensure good air circulation and avoid overwatering to keep the plants healthy."
What should I do if my sugarcane field is waterlogged?,"If your sugarcane field is waterlogged, improve drainage by creating channels to remove excess water. Use water-tolerant varieties like CoS-92423 and avoid over-irrigation in the future."
When and how much yield can I expect from Napier grass?,"Harvest Napier grass in January for best results, with an expected yield of about 140 quintals per hectare. Cut every 45-60 days for optimal regrowth."
How do I apply contact insecticide to my capsicum crop?,"Avoid sodium arsenate, as it's highly toxic. Instead, spray neem oil at 5 ml per liter of water every 10-14 days to control pests in capsicum. Always wear protective gear and target the undersides of leaves."
How much fertilizer should I apply to my opium crop?,"For opium, apply 20-30 tons of farmyard manure per hectare during field preparation. Add 60-80 kg nitrogen and 40-50 kg phosphorus per hectare at sowing, split into two doses for best results."
What's the ideal spacing for aloe vera plants?,"For aloe vera, maintain 60 cm between rows and 45 cm between plants in flat beds or ridges 60 cm apart for healthy growth."
When should I apply weed control in my rice crop?,Apply a pre-emergence herbicide like butachlor at 1.5-2 kg per hectare within 3-4 days of transplanting rice to control weeds effectively.
How do I apply butachlor to my rice field?,Apply butachlor at 1.5-2 kg per hectare in 2-3 cm of standing water within 3-4 days of transplanting. Ensure even spraying and irrigate lightly 8-10 hours later.
What herbicide should I use for weeds in my rice crop?,Spray Nominee Gold (bispyribac-sodium) at 80 ml per acre in 150 liters of water within 20-25 days of transplanting. Irrigate lightly 8-10 hours after spraying.
What should I do about top borer in my sugarcane?,"To manage top borer in your sugarcane, avoid using monocrotophos due to its toxicity. Instead, spray chlorantraniliprole at 0.3 ml per liter of water every 10-14 days, or use neem oil at 5 ml per liter. Apply in the early morning and wear protective gear."
How do I prepare Bordeaux mixture?,"To make Bordeaux mixture, mix 1 kg copper sulphate with 1 kg lime in 100 liters of water. Stir until fully dissolved. Test with blue litmus paper; if it turns red, add more lime to make it alkaline. Alternatively, add a few drops of potassium ferrocyanide; if no color change occurs, the mixture is safe to use."
What feed should I give to 20-week-old chicks?,"For 20-week-old chicks, provide grower feed to support their development. Ensure a balanced diet with 16-18% protein and access to clean water. Consult a poultry expert for specific feed brands."
What's the contact number for Pantnagar's Krishi Vigyan Kendra?,The contact number for Pantnagar's Krishi Vigyan Kendra is 05944-234563. You can also visit their website or office for more details.
What government schemes are available for dairy farming?,"For dairy farming schemes, contact your nearest bank or the District Dairy Development Office. Schemes like the Dairy Entrepreneurship Development Scheme (DEDS) may be available. Visit https://www.nabard.org for more details."
How do I control weeds in my field organically?,"To control weeds organically, spray vermiwash at 1 liter per acre or use manual weeding. Mulching with organic matter like straw also helps suppress weeds."
Which potato variety is best for chips?,"For potato chips, Kufri Chipsona is an excellent variety due to its high dry matter content and suitability for processing."
How do I control small pests on my sugarcane leaves?,"To control small pests on sugarcane leaves, spray neem oil at 5 ml per liter of water every 7-10 days instead of monocrotophos. Target the undersides of leaves and wear protective gear."
How do I control broadleaf weeds in my sorghum crop?,"To control broadleaf weeds in sorghum, spray 2,4-D ethyl ester at 0.5-1 kg per hectare in 500 liters of water within 20-25 days of sowing. Wear protective gear during application."
Why is my buffalo not conceiving after pregnancy?,"If your buffalo isn't conceiving, ensure artificial insemination is done 12 hours after heat detection, preferably twice. Feed a nutrient-rich diet and consult a veterinarian for hormonal treatments if needed."
Where can I get mustard seeds in Pantnagar?,"You can get mustard seeds from the Agricultural Technology Information Centre (ATIC) at GB Pant University, Pantnagar. Contact them at 05944-234810."
Where can I get tricocard for pest control?,Tricocard is available at GB Pant University's biocontrol lab or local biochemical shops. Contact the university at 05944-233320 for availability.
How do I control insects in my rice crop?,"For rice insects, apply carbofuran 3G at 1 kg per hectare in the soil or spray neem oil at 5 ml per liter of water every 10-14 days. Monitor regularly and remove affected parts."
How do I control termites in my rice field?,"To control termites in rice, apply chlorpyrifos 20 EC at 2-3 liters per hectare with irrigation water. Alternatively, use neem cake at 100 kg per hectare during field preparation."
How do I ripen bananas?,"To ripen bananas, place them in a controlled environment with ethylene gas at 100-150 ppm for 24-48 hours. For cooking raw bananas, boil or steam until soft for use in dishes like curries."
How do I control termites in my sugarcane?,"To control termites in sugarcane, apply imidacloprid 70 WG at 100 grams per hectare with irrigation water. Alternatively, mix neem cake at 100 kg per hectare during planting."
How much fertilizer does my rice crop need?,"For hybrid rice, apply 150 kg nitrogen, 60 kg phosphorus, and 60 kg potassium per hectare. For normal varieties, use 100 kg N, 60 kg P, and 40 kg K per hectare, plus 20-25 kg zinc per hectare."
Why is my buffalo bleeding from the mouth during pregnancy?,"Bleeding from the mouth in a pregnant buffalo is serious. Consult a veterinarian immediately for a diagnosis. It could be due to injury or infection, so ensure a clean diet and environment."
Can I apply fertilizer in a flooded rice field?,Apply fertilizer when the water level in your rice field is 2-3 cm. Use 100 kg urea per hectare in two splits: half at transplanting and half 30 days later.
What's the contact number for Lucknow Biotech Park?,"The contact details for Lucknow Biotech Park are: Sector-G, Jankipuram, Kursi Road, Lucknow-226021. Phone: 0522-2365050, 4012076, 4053000. Fax: 0522-4012081. Email: info@biotechpark.org.in."
How do I prepare a urea spray?,Prepare a urea spray at 2% concentration (20 grams per liter of water) for foliar application. Spray in the early morning for best absorption.
Can I feed grass to animals from a maize field treated with atrazine 12 days ago?,"Yes, it's generally safe to feed grass to animals 12 days after applying atrazine, as the herbicide's residue levels should be low. However, consult a local agricultural expert to confirm."
How do I control ants in my cabbage field?,"To control ants in your cabbage field, apply chlorpyrifos 20 EC at 2 ml per liter of water around the plant base. Use sparingly and wear protective gear."
How do I manage top borer in my sugarcane?,"For top borer in sugarcane, apply carbofuran 3G at 1 kg per hectare in the soil before irrigation. Alternatively, spray neem oil at 5 ml per liter every 10-14 days."
What's the address of the Uttar Pradesh Agriculture Directorate?,"The address is: Directorate of Agriculture, S.M.A. Rehmankhera, P.O. Kakori, District Lucknow, Uttar Pradesh. Contact your local office for specific details."
Which fungicide should I use for rice diseases?,"For rice fungal diseases, spray carbendazim 50 WP at 2 grams per liter of water every 10-14 days. Ensure even coverage and wear protective gear."
How do I control pests affecting all my plants?,"For widespread pest issues, spray quinalphos 25 EC at 2 ml per liter of water every 7-10 days. Alternatively, use neem oil at 5 ml per liter for a safer option. Always wear protective gear."
How do I stop worms from eating my cauliflower leaves?,"To stop worms on cauliflower leaves, spray dimethoate 30 EC at 2 ml per liter of water every 7-10 days. Target the undersides of leaves and wear protective gear."
Why is my 9-month pregnant buffalo's body warm?,A warm body in a pregnant buffalo could indicate fever or infection. Check its temperature and consult a veterinarian immediately for proper treatment and care.
Can I mix zinc with neem-coated urea?,"Yes, you can mix zinc sulphate with neem-coated urea. Apply 20-25 kg zinc sulphate per hectare with 100 kg urea as a top dressing for best results."
Why are my rice ears infested with worms?,"For worms in rice ears, mix cartap hydrochloride at 10 kg per hectare with 40 kg urea and apply in 3-4 cm of standing water. Alternatively, spray neem oil at 5 ml per liter every 7-10 days."
Which ministry runs the food processing department?,"The food processing department is under the Ministry of Food Processing Industries, Government of India. For funding details, contact CAPART or visit https://mofpi.nic.in."
What should I do if my buffalo's 2-month-old calf has a swollen stomach?,"A swollen stomach in a calf could be due to bloat. Administer 20 ml turpentine oil mixed with 15 ml linseed oil, but consult a veterinarian immediately. Avoid puncturing the stomach unless guided by a vet."
Why is my pregnant buffalo restless?,Restlessness in a pregnant buffalo could be due to discomfort or health issues. Consult a veterinarian for a check-up and ensure a balanced diet with adequate rest.
Why are my urad leaves shrinking?,"Shrinking urad leaves may be due to pests or nutrient deficiency. Spray dimethoate 30 EC at 2 ml per liter of water every 7-10 days. Also, apply 20 kg nitrogen per hectare to boost growth."
Where can I get wheat seeds?,"You can get wheat seeds from the Krishi Vigyan Kendra (KVK) in Dhanori, Haridwar, or GB Pant University's seed center. Contact KVK at 05332-215442."
What medicine should I give my 7.5-month pregnant cow?,"For a 7.5-month pregnant cow, provide Agrimin Forte at 30 grams daily and Maricol salt at 100 grams daily to support health. Consult a veterinarian for specific needs."
Which are the best wheat varieties?,"Good wheat varieties include PBW-502, PBW-343, RR-21, and DBW-17. These are high-yielding and suitable for various regions."
When is the Pantnagar Kisan Mela?,The Pantnagar Kisan Mela runs from October 4 to 7. Visit between 10 AM and 6 PM for the best experience.
What's the helpline number for ICAR Pusa?,The helpline number for ICAR Pusa is 1800-11-8989. Contact them for agricultural advice or visit their website.
Why are my rice leaves turning yellow?,"Yellowing rice leaves may indicate a nutrient deficiency. Spray kasugamycin at 500 ml per acre in 250 liters of water. Also, apply 20 kg urea per hectare as a top dressing."
How do I improve my cow's digestion?,"To improve your cow's digestion, add 50 grams of mineral mixture daily and provide green fodder like berseem or Napier grass. Ensure clean water is always available."
Can I apply urea to my ridge gourd?,"Yes, you can apply urea to ridge gourd at 20 kg per hectare as a top dressing after 20-25 days. Spray 2% urea solution (20 grams per liter) for foliar application."
What feed should I give to 20-week-old hens?,"For 20-week-old hens, provide layer feed with 16-18% protein to support egg production. Ensure access to clean water and consult a poultry expert for specific brands."
How do I control whitefly disease in my rice crop?,"For whiteflies in rice, spray ferrous sulphate at 5 kg mixed with 20 kg urea or 250 kg slaked lime in 800 liters of water. Apply 2-3 sprays at 5-day intervals."
How much fertilizer should I apply to my 20-year-old mango tree?,"For a 20-year-old mango tree, apply 2 kg nitrogen, 1.5 kg phosphorus, and 1.5 kg potassium, plus 20 kg farmyard manure annually. Irrigate after application."
When does a jackfruit tree bear fruit?,"A grafted jackfruit tree bears fruit in 8-10 years, while a seed-grown tree takes 10-12 years. Ensure proper care and fertilization for healthy fruiting."
Why are there black spots on my mango leaves?,Black spots on mango leaves are likely due to fungal issues. Spray mancozeb 75 WP at 2 grams per liter of water every 10-14 days. Remove affected leaves.
How do I control blast disease in my paddy?,"For paddy blast, spray carbendazim 50 WP at 500 grams per hectare in 500 liters of water. Apply two sprays at 7-day intervals, starting at the first sign of disease."
Why are my kinnow fruits falling?,"To prevent kinnow fruit drop, spray Planofix at 0.5 ml per liter of water during flowering. Ensure proper irrigation and nutrient management."
When should I spray Tilt in my rice crop?,Spray Tilt (propiconazole 25 EC) at 200 ml per acre during the panicle initiation stage to control fungal diseases in rice.
How do I control aphids in my rice crop?,"For rice aphids, spray imidacloprid 17.8 SL at 100 ml per acre in 150 liters of water. Apply in the early morning and wear protective gear."
How do I control white-backed hopper in my rice crop?,"For white-backed hopper in rice, spray etofenprox 20 EC at 1 ml per liter or dichlorvos at 1 ml per liter with 1 ml VPMC in 500 liters of water per hectare."
How much berseem seed should I sow?,Sow 25-30 kg of berseem seed per hectare for optimal growth. Ensure well-prepared soil and adequate moisture.
How do I control worms cutting my onion roots?,"For worms cutting onion roots, spray quinalphos 25 EC at 2 ml per liter of water every 7-10 days. Ensure even application and wear protective gear."
"What's the contact number for CITH Mukteshwar, Uttarakhand?",The contact number for CITH Mukteshwar is 05942-286027. Email: cithrs@yahoo.com.
What's the contact number for Chirag NGO?,The contact number for Chirag NGO in Uttarakhand is 05942-285738 or +91-94120-85732.
How much water should I apply to my rice field?,Maintain a light water level (2-3 cm) in your rice field for optimal growth. Avoid overflooding to prevent root damage.
Why is my 8-month pregnant cow showing signs of diarrhea?,"Diarrhea in a pregnant cow is serious. Consult a veterinarian immediately. Provide clean water with electrolytes and ensure a clean, dry resting area."
How do I control whitefly in my sugarcane?,"For whitefly in sugarcane, spray triazophos 40 EC at 1.5 liters in 800 liters of water per hectare. Alternatively, use neem oil at 5 ml per liter for a safer option."
How do I control stem borer in my rice crop?,"For rice stem borer, spray malathion 50 EC at 1.5 liters per hectare or imidacloprid 17.8 SL at 100 ml per acre in the morning. Mix malathion with ash for dusting if needed."
How do I control termites in my rice field?,"For termites in rice, apply chlorpyrifos 20 EC at 2-3 liters per hectare with irrigation water or BHC 10% dust at 20 kg per hectare."
What are the best mustard varieties?,"Top mustard varieties include Vardan, Maya, and Urvashi. These are high-yielding and suitable for various regions."
How do I control white insects in my rice crop?,"For white insects in rice, spray imidacloprid 17.8 SL at 0.5-0.7 ml per liter of water. Alternatively, mix malathion 5% dust at 20-25 kg per hectare with ash and apply in the morning."
"Why isn't my fish growing, and what should I feed them?","For better fish growth, feed 10 tons of cow dung manure, 200 kg urea, 250 kg single superphosphate, and 40 kg muriate of potash per year per hectare. Ensure good water quality and oxygenation."
What's the best time to visit the Pantnagar Kisan Mela?,Visit the Pantnagar Kisan Mela between 10 AM and 6 PM from October 4 to 7 for the best experience.
How do I control termites in my sugarcane?,"To control termites in sugarcane, apply Metarhizium anisopliae at 2 kg mixed with 50 kg farmyard manure during sowing. Alternatively, use chlorpyrifos 20 EC at 2 liters per hectare."
Which potato varieties are best?,"Top potato varieties include Kufri Suman, Kufri Alankar, and Kufri Badshah. These are high-yielding and suitable for various uses."
Why are my rice leaves showing yellow spots?,Yellow spots on rice leaves may be due to fungal issues. Spray copper oxychloride 50 WP at 2 grams per liter of water every 10-14 days.
Why are worms affecting my rice panicles?,"For worms in rice panicles, spray cartap hydrochloride 50 SP at 250-300 ml per acre or imidacloprid 17.8 SL at 80 ml per acre in 150 liters of water."
What fertilizers should I use for a good potato crop?,"For potatoes, apply NPK 19:19:19 at 1 kg per acre in 150 liters of water 20-25 days after sowing, then again at 40-45 and 55-60 days. Irrigate after each application."
Which potato varieties give high yields?,"High-yielding potato varieties include Kufri Badshah, Kufri Pukhraj, Kufri Anand, and Kufri Sindhuri."
Why are white butterflies affecting my rice crop?,"For white butterflies in rice, spray malathion 5% dust at 20-25 kg per hectare in the morning or imidacloprid 17.8 SL at 0.5-0.7 ml per liter of water."
When is the Pantnagar Kisan Mela ending?,"The Pantnagar Kisan Mela runs from October 4 to 7. Today, October 7, is the last day."
What fertilizer dose should I use for walnuts?,"For walnut trees, apply 50 grams nitrogen, 50 grams phosphorus, and 25 grams potassium per plant annually. Add 10 kg farmyard manure per tree."
How do I control broadleaf weeds in my potato field?,"For broadleaf weeds in potatoes, avoid sowing in heavily weedy fields. Use manual weeding now, as pre-emergence herbicides like pendimethalin should be applied 3-4 days before sowing."
Why is my 15-day pregnant buffalo showing swelling in her udder?,Slight udder swelling in a pregnant buffalo near calving is normal and should subside after delivery. Feed 100 grams of roasted fenugreek seeds daily and consult a veterinarian if swelling persists.
Which berseem varieties are best?,Top berseem varieties include Shanti-81 and Punjab Sogat. These are high-yielding and suitable for fodder.
